iter	Passed	Remaining
412	3577	5084
413	3585	5075
414	3595	5067
415	3603	5059
416	3612	5049
417	3620	5041
418	3629	5033
419	3638	5023
420	3646	5014
421	3655	5007
422	3664	4998
423	3672	4989
424	3681	4980
425	3689	4971
426	3698	4963
427	3707	4954
428	3716	4946
429	3725	4937
430	3734	4929
431	3742	4921
432	3751	4911
433	3759	4903
434	3768	4894
435	3776	4885
436	3784	4876
437	3793	4867
438	3802	4858
439	3810	4850
440	3819	4841
441	3829	4834
442	3837	4825
443	3845	4815
444	3854	4807
445	3862	4798
446	3871	4789
447	3881	4782
448	3890	4774
449	3899	4766
450	3908	4757
451	3917	4748
452	3925	4739
453	3930	4726
454	3939	4718
455	3947	4709
456	3957	4702
457	3967	4694
458	3975	4685
459	3983	4676
460	3992	4668
461	4001	4659
462	4009	4650
463	4017	4641
464	4026	4632
465	4034	4623
466	4042	4614
467	4051	4605
468	4054	4590
469	4062	4581
470	4071	4572
471	4079	4563
472	4088	4555
473	4097	4546
474	4105	4537
475	4114	4529
476	4123	4521
477	4131	4511
478	4140	4503
479	4149	4495
480	4158	4487
481	4167	4478
482	4176	4470
483	4184	4461
484	4193	4452
485	4201	4444
486	4210	4435
487	4218	4426
488	4227	4417
489	4235	4408
490	4244	4400
491	4252	4391
492	4261	4382
493	4270	4374
494	4278	4365
495	4286	4355
496	4295	4347
497	4303	4338
498	4312	4330
499	4321	4321
500	4330	4313
501	4339	4304
502	4349	4297
503	4358	4288
504	4367	4280
505	4376	4272
506	4385	4264
507	4394	4256
508	4402	4247
509	4411	4238
510	4420	4229
511	4428	4221
512	4436	4211
513	4445	4203
514	4453	4193
515	4461	4185
516	4470	4176
517	4479	4168
518	4488	4159
519	4496	4150
520	4505	4141
521	4513	4132
522	4521	4124
523	4529	4114
524	4538	4106
525	4546	4097
526	4555	4088
527	4564	4080
528	4573	4071
529	4581	4062
530	4589	4054
531	4598	4045
532	4607	4036
533	4616	4028
534	4625	4020
535	4634	4011
536	4642	4002
537	4651	3994
538	4660	3985
539	4668	3976
540	4677	3968
541	4686	3959
542	4694	3950
543	4702	3942
544	4711	3933
545	4720	3924
546	4728	3916
547	4737	3907
548	4747	3900
549	4755	3890
550	4763	3881
551	4771	3872
552	4780	3863
553	4788	3855
554	4797	3846
555	4805	3837
556	4814	3828
557	4823	3820
558	4831	3811
559	4839	3802
560	4848	3794
561	4857	3785
562	4866	3777
563	4875	3768
564	4883	3760
565	4892	3751
566	4902	3743
567	4910	3735
568	4920	3727
569	4929	3718
570	4938	3710
571	4947	3701
572	4956	3693
573	4964	3684
574	4973	3676
575	4982	3667
576	4991	3659
577	5000	3650
578	5008	3641
579	5017	3633
580	5026	3625
581	5034	3616
582	5043	3607
583	5052	3599
584	5061	3590
585	5069	3581
586	5078	3572
587	5086	3564
588	5094	3555
589	5103	3546
590	5112	3538
591	5121	3529
592	5130	3520
593	5139	3512
594	5148	3504
595	5156	3495
596	5165	3486
597	5174	3478
598	5183	3470
599	5191	3461
600	5200	3452
601	5209	3443
602	5217	3435
603	5226	3426
604	5234	3417
605	5243	3408
606	5251	3400
607	5260	3391
608	5268	3382
609	5280	3375
610	5288	3367
611	5296	3358
612	5305	3349
613	5313	3340
614	5322	3331
615	5330	3323
616	5339	3314
617	5347	3305
618	5355	3296
619	5364	3287
620	5373	3279
621	5381	3270
622	5390	3261
623	5398	3253
624	5407	3244
625	5415	3235
626	5424	3226
627	5432	3218
628	5442	3210
629	5451	3201
630	5460	3193
631	5468	3184
632	5476	3175
633	5484	3166
634	5493	3157
635	5502	3149
636	5510	3140
637	5518	3131
638	5527	3122
639	5536	3114
640	5547	3106
641	5555	3097
642	5564	3089
643	5572	3080
644	5581	3071
645	5589	3063
646	5598	3054
647	5607	3045
648	5615	3037
649	5623	3027
650	5631	3019
651	5640	3010
652	5649	3002
653	5657	2993
654	5666	2984
655	5675	2976
656	5684	2967
657	5692	2958
658	5701	2950
659	5709	2941
660	5718	2932
661	5727	2924
662	5735	2915
663	5743	2906
664	5751	2897
665	5760	2888
666	5768	2879
667	5776	2871
668	5786	2863
669	5795	2854
670	5803	2845
671	5812	2837
672	5820	2828
673	5829	2819
674	5838	2811
675	5846	2802
676	5855	2793
677	5864	2784
678	5872	2776
679	5881	2767
680	5889	2758
681	5899	2750
682	5908	2742
683	5916	2733
684	5925	2725
685	5935	2716
686	5944	2708
687	5954	2700
688	5963	2691
689	5971	2683
690	5980	2674
691	5989	2666
692	5998	2657
693	6007	2649
694	6016	2640
695	6025	2631
696	6033	2622
697	6042	2614
698	6051	2605
699	6059	2596
700	6068	2588
701	6076	2579
702	6085	2570
703	6094	2562
704	6102	2553
705	6110	2544
706	6118	2535
707	6127	2527
708	6136	2518
709	6145	2510
710	6154	2501
711	6162	2492
712	6171	2484
713	6179	2475
714	6188	2466
715	6196	2457
716	6204	2449
717	6213	2440
718	6221	2431
719	6229	2422
720	6238	2414
721	6247	2405
722	6256	2396
723	6264	2388
724	6272	2379
725	6281	2370
726	6289	2361
727	6298	2353
728	6307	2344
729	6316	2336
730	6326	2327
731	6335	2319
732	6345	2311
733	6354	2302
734	6362	2293
735	6371	2285
736	6380	2276
737	6388	2268
738	6397	2259
739	6406	2250
740	6414	2242
741	6423	2233
742	6431	2224
743	6440	2216
744	6448	2207
745	6456	2198
746	6467	2190
747	6476	2181
748	6484	2173
749	6493	2164
750	6502	2155
751	6511	2147
752	6519	2138
753	6528	2129
754	6536	2121
755	6544	2112
756	6553	2103
757	6561	2094
758	6570	2086
759	6578	2077
760	6587	2068
761	6596	2060
762	6605	2051
763	6614	2043
764	6623	2034
765	6631	2025
766	6639	2016
767	6648	2008
768	6657	1999
769	6666	1991
770	6675	1982
771	6684	1974
772	6692	1965
773	6700	1956
774	6709	1947
775	6718	1939
776	6727	1930
777	6736	1922
778	6745	1913
779	6753	1904
780	6762	1896
781	6770	1887
782	6779	1878
783	6788	1870
784	6797	1861
785	6805	1852
786	6814	1844
787	6823	1835
788	6831	1827
789	6840	1818
790	6849	1809
791	6857	1800
792	6866	1792
793	6874	1783
794	6883	1775
795	6892	1766
796	6901	1757
797	6910	1749
798	6919	1740
799	6927	1731
800	6936	1723
801	6944	1714
802	6952	1705
803	6960	1696
804	6970	1688
805	6978	1679
806	6986	1670
807	6994	1662
808	7003	1653
809	7012	1644
810	7021	1636
811	7029	1627
812	7038	1619
813	7046	1610
814	7055	1601
815	7065	1593
816	7073	1584
817	7082	1575
818	7091	1567
819	7100	1558
820	7108	1549
821	7116	1541
822	7126	1532
823	7135	1524
824	7144	1515
825	7152	1506
826	7160	1497
827	7169	1489
828	7178	1480
829	7186	1471
830	7195	1463
831	7203	1454
832	7212	1445
833	7220	1437
834	7229	1428
835	7237	1419
836	7245	1411
837	7254	1402
838	7263	1393
839	7272	1385
840	7280	1376
841	7289	1367
842	7298	1359
843	7306	1350
844	7315	1341
845	7323	1333
846	7331	1324
847	7340	1315
848	7348	1307
849	7357	1298
850	7365	1289
851	7374	1281
852	7382	1272
853	7391	1263
854	7400	1255
855	7408	1246
856	7417	1237
857	7425	1228
858	7434	1220
859	7444	1211
860	7452	1203
861	7460	1194
862	7469	1185
863	7477	1177
864	7486	1168
865	7495	1159
866	7506	1151
867	7514	1142
868	7524	1134
869	7533	1125
870	7541	1116
871	7550	1108
872	7559	1099
873	7567	1091
874	7576	1082
875	7585	1073
876	7593	1065
877	7602	1056
878	7611	1047
879	7619	1039
880	7628	1030
881	7636	1021
882	7645	1013
883	7654	1004
884	7663	995
885	7671	987
886	7680	978
887	7689	969
888	7697	961
889	7706	952
890	7714	943
891	7722	935
892	7731	926
893	7740	917
894	7750	909
895	7758	900
896	7768	892
897	7777	883
898	7786	874
899	7794	866
900	7803	857
901	7812	848
902	7820	840
903	7829	831
904	7837	822
905	7846	814
906	7855	805
907	7864	796
908	7872	788
909	7881	779
910	7890	770
911	7899	762
912	7907	753
913	7915	744
914	7925	736
915	7933	727
916	7942	718
917	7951	710
918	7959	701
919	7968	692
920	7976	684
921	7985	675
922	7994	666
923	8003	658
924	8013	649
925	8021	641
926	8030	632
927	8039	623
928	8047	615
929	8056	606
930	8064	597
931	8073	589
932	8081	580
933	8090	571
934	8098	563
935	8107	554
936	8116	545
937	8124	537
938	8132	528
939	8141	519
940	8149	510
941	8158	502
942	8167	493
943	8175	485
944	8184	476
945	8192	467
946	8201	459
947	8210	450
948	8219	441
949	8227	433
950	8236	424
951	8244	415
952	8253	407
953	8261	398
954	8270	389
955	8278	381
956	8287	372
957	8295	363
958	8303	354
959	8313	346
960	8322	337
961	8331	329
962	8339	320
963	8347	311
964	8356	303
965	8364	294
966	8372	285
967	8380	277
968	8389	268
969	8398	259
970	8406	251
971	8415	242
972	8423	233
