iter	MultiClass
193	0.3967004847
194	0.3954115498
195	0.394082861
196	0.3927617544
197	0.3915197482
198	0.3902802958
199	0.3888414878
200	0.3876133488
201	0.3863755376
202	0.385292223
203	0.3843755967
204	0.3828016669
205	0.3820875737
206	0.3811567197
207	0.3801749793
208	0.3788198976
209	0.377629314
210	0.3765838124
211	0.375483714
212	0.3748364417
213	0.373417989
214	0.3723366473
215	0.3711834304
216	0.3706392758
217	0.3695621575
218	0.3684048648
219	0.3672211132
220	0.3663312233
221	0.3656735116
222	0.3646084427
223	0.3634532794
224	0.3630407189
225	0.3618868347
226	0.3610030766
227	0.3597584633
228	0.3590635083
229	0.3580418506
230	0.356910129
231	0.3558118752
232	0.3545007134
233	0.3536559684
234	0.3524411797
235	0.3519328913
236	0.3508652
237	0.3497853817
238	0.3488871347
239	0.3476461948
240	0.3472067889
241	0.3459704469
242	0.3450423877
243	0.3440308355
244	0.3431324944
245	0.3426754223
246	0.3421309854
247	0.3409042572
248	0.3400760277
249	0.3392470042
250	0.338166467
251	0.337394084
252	0.336282746
253	0.3351130403
254	0.3341606444
255	0.3332015227
256	0.3323168741
257	0.3315356839
258	0.3310986233
259	0.3302414461
260	0.3289699793
261	0.3276427073
262	0.3267436479
263	0.3261927617
264	0.3251568148
265	0.324228972
266	0.323112897
267	0.3226201891
268	0.3218328521
269	0.3213904285
270	0.3206024094
271	0.3198739198
272	0.318917445
273	0.3180232748
274	0.3170808754
275	0.3162632469
276	0.3158681595
277	0.3148402869
278	0.3139558157
279	0.312901179
280	0.3118572598
281	0.3109582278
282	0.3102380507
283	0.3091182089
284	0.3081969969
285	0.3073594208
286	0.306393417
287	0.30520601
288	0.3043401026
289	0.3034852406
290	0.3031287855
291	0.3023826417
292	0.3016223724
293	0.3009563717
294	0.3001359997
295	0.2994135167
296	0.298663774
297	0.2982969113
298	0.2976739375
299	0.2972372782
300	0.2969702193
301	0.2962205961
302	0.2952164249
303	0.294364125
304	0.2934152374
305	0.2927688795
306	0.2919584758
307	0.2913765675
308	0.2909944072
309	0.290330444
310	0.2896884029
311	0.2889704362
312	0.2883367949
313	0.2876154743
314	0.2869105569
315	0.286595056
316	0.2862977785
317	0.285889872
318	0.2855197536
319	0.2847340957
320	0.284021849
321	0.2833795441
322	0.2830799197
323	0.2828004776
324	0.2825432893
325	0.2822845301
326	0.2820220732
327	0.2817265187
328	0.2814834308
329	0.2811966133
330	0.2809238255
331	0.2802547286
332	0.2799205571
333	0.2789726685
334	0.2783897153
335	0.278116214
336	0.2774808318
337	0.2771941801
338	0.2768987722
339	0.2766617093
340	0.2763532774
341	0.2757072474
342	0.2751146134
343	0.2748980857
344	0.274688254
345	0.2743869334
346	0.2735180236
347	0.2729780186
348	0.2727381845
349	0.2722535738
350	0.2720695415
351	0.2717831572
352	0.2712219478
353	0.2706757209
354	0.2703944536
355	0.2701809646
356	0.2693956938
357	0.2691729289
358	0.268839187
359	0.2685958543
360	0.2682418702
361	0.2679907576
362	0.2677830407
363	0.2675540307
364	0.2673039498
365	0.2670679458
366	0.2668078955
367	0.2666351734
368	0.2660933271
369	0.2658995149
370	0.2656927628
371	0.2651477805
372	0.2646515579
373	0.2641350876
374	0.2633364873
375	0.2631324737
376	0.2626395264
377	0.262039708
378	0.2618135601
379	0.2613385003
380	0.2611422118
381	0.2606524928
382	0.2602028039
383	0.2599121899
384	0.2596900484
385	0.2594849811
386	0.2590559122
387	0.2586054761
388	0.2580745748
389	0.2578988815
390	0.2574563116
391	0.256689652
392	0.2558210347
393	0.2555898199
394	0.2553597023
395	0.2551635889
396	0.2549495823
397	0.2545000573
398	0.2539545477
399	0.2532484966
400	0.2530883514
401	0.2529103004
402	0.2527378882
403	0.2525667919
404	0.2524214678
405	0.2519954399
406	0.2514169609
407	0.2512208154
408	0.2509711214
409	0.2505022026
410	0.2500223678
411	0.2495960623
412	0.2494017846
413	0.2491712875
414	0.2489621222
415	0.2486945053
416	0.2481478458
417	0.2476191629
418	0.2474091939
419	0.2470084105
420	0.2460415368
421	0.2458519233
422	0.2456261197
423	0.2452192002
424	0.2450473577
425	0.2449061714
426	0.2444835698
427	0.2440990934
428	0.2436889371
429	0.2433088886
430	0.2429709958
431	0.2428122776
432	0.2426378603
433	0.2424539817
434	0.2421034005
435	0.241957411
436	0.2418041027
437	0.241583166
438	0.2412230233
439	0.2410214809
440	0.2408744963
441	0.2406916557
442	0.240538401
443	0.2403490802
444	0.2401479536
445	0.2399928155
446	0.2395995581
447	0.2392010794
448	0.2388302111
449	0.2386491732
450	0.2384997392
451	0.2383490575
452	0.2380938096
453	0.2379284856
454	0.2374895416
455	0.2373497541
456	0.2371757374
457	0.236800869
458	0.2364469324
459	0.2360464213
460	0.2358694632
461	0.2357207469
462	0.2352608039
463	0.2351129764
464	0.2349229703
465	0.2347936229
466	0.2344423582
467	0.2343123547
468	0.2341748962
469	0.2340256104
470	0.2338003231
471	0.2336410614
472	0.2327960493
473	0.2323904756
474	0.2322207052
475	0.2320332385
476	0.2318538987
477	0.2316645819
478	0.231307342
479	0.2311687457
480	0.2309901724
481	0.2308495049
482	0.2305602906
483	0.2304019002
484	0.2302378224
485	0.2300735229
486	0.2299396183
487	0.2297707716
488	0.2296128807
489	0.2294506084
490	0.2291899901
491	0.2288337535
492	0.2285118541
493	0.2276730947
494	0.2275295512
495	0.2274094597
496	0.227108331
497	0.226960871
498	0.2267971593
499	0.2262290858
500	0.22590997
501	0.2257247181
502	0.225572082
503	0.2247766389
504	0.2245869215
505	0.2244490188
506	0.2238622972
507	0.223698325
508	0.2235660858
509	0.2233999037
510	0.2232550424
511	0.2231242881
512	0.2229912079
513	0.2227172167
514	0.2225873079
515	0.2224286124
516	0.2219804289
517	0.2218647496
518	0.2216081577
519	0.2214618214
520	0.2213148261
521	0.2211767845
522	0.2210210143
523	0.2207834074
524	0.2206505583
525	0.2205056665
526	0.2203615451
527	0.2200719366
528	0.2199429448
529	0.2196633764
530	0.219517572
531	0.2193916864
532	0.2190820232
533	0.218792824
534	0.2185859984
535	0.2184467851
536	0.2183161549
537	0.2180719376
538	0.2179365754
539	0.2176227397
540	0.2174896731
541	0.2173382709
542	0.2172103416
543	0.2170494476
544	0.2169286646
545	0.2167985694
546	0.2166627362
547	0.2165352657
548	0.2164003508
549	0.2161745707
550	0.2160376308
551	0.2155049264
552	0.2153751619
553	0.2152533185
554	0.2151105711
555	0.2149789027
556	0.21483979
557	0.2147119212
558	0.2145754555
559	0.2144451622
560	0.213950698
561	0.2138444817
562	0.2136857067
563	0.2135466069
564	0.2133942563
565	0.2132519415
566	0.2131035212
567	0.2129654676
568	0.2128156212
569	0.2126989741
570	0.2125412724
571	0.2124032184
572	0.212262287
573	0.2121200225
574	0.2119773108
575	0.2118422292
576	0.2115702736
577	0.2114654427
578	0.2113328193
579	0.211224226
580	0.2111179274
581	0.2109752889
582	0.2108386267
583	0.210708169
584	0.2105782646
585	0.2100917663
586	0.2098373327
587	0.2097244177
588	0.2095970643
589	0.2094728089
590	0.209370835
591	0.2092319878
592	0.2086022464
593	0.2083445599
594	0.2082221772
595	0.2081034496
596	0.2078388363
597	0.2075903045
598	0.2074688156
599	0.2073654924
600	0.2071251037
601	0.2069781064
602	0.2068332582
603	0.2067038701
604	0.2065703428
605	0.206342994
606	0.2056840956
607	0.2055796517
608	0.2054557479
609	0.2052112048
610	0.2051101706
611	0.2048653304
612	0.2045020003
613	0.2043800186
614	0.2042585424
615	0.2041514211
616	0.2040286457
617	0.2038913502
618	0.2037717787
619	0.2034243394
620	0.2033052655
621	0.2031516199
622	0.2030275856
623	0.2027993775
624	0.2024534667
625	0.2023022276
626	0.2015914292
627	0.2014711485
628	0.2012466693
629	0.2009999615
630	0.2008545204
631	0.2007116766
632	0.200554533
633	0.2003411615
634	0.200211925
635	0.2001162368
636	0.1998265907
637	0.1997040749
638	0.199574476
639	0.1993443026
640	0.1992234071
641	0.199115012
